Category,Description,Material cost per unit,Labor cost per unit,Lump sum cost,Manhours per unit,Equipment cost per unit,Unit of measure,Crew code and detail,Crew Code
Special purpose adhesives,"Construction adhesive, for counters, cabinets, paneling, brick veneer, ceramic fixtures, shelving, sets in 10 minutes, 10.5 oz. cartridge",1.63,,1.63,,,Ea,,
Special purpose adhesives,"Epoxy-tie adhesive, bonds concrete, fills cracks to 3/4"", seals doors and windows, anchor grouting, non-shrink, 22 oz. cartridge",37.1,,37.1,,,Ea,,
Special purpose adhesives,"Gypsum drywall adhesive, waterproof, bonds to wood, metal, masonry, concrete, 29 oz. cartridge",5.91,,5.91,,,Ea,,
Special purpose adhesives,"Latex FRP adhesive, indoor, bonds wood, concrete, drywall, foamboard, trowel grade, gallon",24.3,,24.3,,,Ea,,
Special purpose adhesives,"Panel insulation adhesive, waterproof, for polyurethane & polystyrene panels, bonds to wood, metal, masonry, concrete, 4.5 lbs.",44.4,,44.4,,,Ea,,
Special purpose adhesives,"Marine adhesive/sealant, 10 oz.",29.8,,29.8,,,Ea,,
Special purpose adhesives,"Project adhesive, rubber-based, bonds plywood, hardboard fiberglass, drywall, foam board, shelving, ceramic fixtures, 10 minute work time, 10.5 oz. cartridge",5.07,,5.07,,,Ea,,
General purpose adhesives,"Acoustic tile adhesive, solvent base, waterproof, sound deadening type (1-quart )",0,,,,,Ea,,
General purpose adhesives,"Acoustic tile adhesive, solvent base, waterproof, sound deadening type (1-gallon )",16.3,,,,,Ea,,
General purpose adhesives,Aliphatic resin woodworking glue (1-quart ),13.8,,,,,Ea,,
General purpose adhesives,Aliphatic resin woodworking glue (1-gallon ),36.6,,,,,Ea,,
General purpose adhesives,"Carpet cement, outdoor (1-quart )",25.8,,,,,Ea,,
General purpose adhesives,"Carpet cement, outdoor (1-gallon )",0,,,,,Ea,,
General purpose adhesives,"Professional carpenter’s glue, multi-purpose (1-quart )",21.3,,,,,Ea,,
General purpose adhesives,"Professional carpenter’s glue, multi-purpose (1-gallon )",30.5,,,,,Ea,,
General purpose adhesives,"Contact cement, rubber based, waterproof, bonds veneers to plywood, particleboard, wallboard (1-quart )",19.3,,,,,Ea,,
General purpose adhesives,"Contact cement, rubber based, waterproof, bonds veneers to plywood, particleboard, wallboard (1-gallon )",47.3,,,,,Ea,,
General purpose adhesives,Gel contact cement (1-quart ),19.7,,,,,Ea,,
General purpose adhesives,Gel contact cement (1-gallon ),0,,,,,Ea,,
General purpose adhesives,"Resilient flooring adhesive, latex base, adheres to concrete, plywood, felt, sheet flooring (1-quart )",11.7,,,,,Ea,,
General purpose adhesives,"Resilient flooring adhesive, latex base, adheres to concrete, plywood, felt, sheet flooring (1-gallon )",22.2,,,,,Ea,,
General purpose adhesives,"Tile cement, solvent base, ceramic/stone, interior (1-quart )",11.1,,,,,Ea,,
General purpose adhesives,"Tile cement, solvent base, ceramic/stone, interior (1-gallon )",34.8,,,,,Ea,,
Crushed stone,"3/8"" stone",28.5,,28.5,,,Ton,,
Crushed stone,"3/4"" (Number 3)",26.2,,26.2,,,Ton,,
Crushed stone,"1-1/2"" (Number 2)",24.6,,24.6,,,Ton,,
Crushed slag,"3/4"" slag",27.2,,27.2,,,Ton,,
Crushed slag,"1-1/2""",27.8,,27.8,,,Ton,,
Washed Gravel,"3/4"" gravel",49.3,,49.3,,,Ton,,
Washed Gravel,"1-1/2""",53.2,,53.2,,,Ton,,
Pea Gravel,"3/8"" or 1/2""",58,,58,,,Ton,,
Sand aggregate,Fill sand,33.4,,33.4,,,Ton,,
Sand aggregate,Mason  sand,44.3,,44.3,,,Ton,,
Sand aggregate,Concrete sand,37,,37,,,Ton,,
Sand aggregate,Add per ton less than 24 tons,9.79,,9.79,,,Ton,,
Sand aggregate,"Add for delivery over 5 miles, one way",12.2,,12.2,,,Mile,,
Single-family residence appraisal fee,"To 2,500 square feet",,,363,,,LS,,
Single-family residence appraisal fee,"Over 2,500 SF to 3,500 SF",,,411,,,LS,,
Single-family residence appraisal fee,"Over 3,500 SF to 5,000 SF",,,508,,,LS,,
Single-family residence appraisal fee,"Over 5,000 SF",,,750,,,LS,,
Small multi-family residential appraisal fee,"Small residential income properties (duplex, triplex, quadriplex) 2 to 4 units",,,653,,,LS,,
Apartment house appraisal fee,"Apartment houses, commercial and industrial buildings To     $300,000 valuation",,,3150,,,LS,,
Apartment house appraisal fee,"Over  $300,000 to $1,000,000 valuation",,,4110,,,LS,,
Apartment house appraisal fee,"Over  $1,000,000 to $3,000,000 valuation",,,4600,,,LS,,
Apartment house appraisal fee,"Over  $3,000,000 to $5,000,000 valuation",,,5810,,,LS,,
Appraisal fees,Additional photograph (each),,,26.6,,,LS,,
Appraisal fees,Outlying area fee,,,53.2,,,LS,,
Appraisal fees,Satisfactory Completion (old Form 442 / new Form 1004d),,,145,,,LS,,
Appraisal fees,"Appraisal update, same comps (Form 1004d)",,,290,,,LS,,
Appraisal fees,Operating Income Statement (FNMA 216),,,77.4,,,LS,,
Appraisal fees,SFR Rental Survey (FNMA 1007),,,77.4,,,LS,,
Appraisal fees,Appraisal review (desk),,,169,,,LS,,
Appraisal fees,Appraisal review (field),,,363,,,LS,,
Appraisal fees,Drive-by appraisal (Form 2055) starting at,,,266,,,LS,,
Appraisal fees,Drive-by appraisal (Form 2070/2075),,,218,,,LS,,
Machinery appraisal fee,"To     $30,000 valuation",,,600,,,LS,,
Machinery appraisal fee,"Over  $30,000 to $100,000 valuation",,,803,,,LS,,
Machinery appraisal fee,"Over  $100,000 to $500,000 valuation",,,1350,,,LS,,
Machinery appraisal fee,"Over  $500,000 to $1,000,000 valuation",,,1840,,,LS,,
Machinery appraisal fee,"Over  $1,000,000 to $5,000,000 valuation",,,3150,,,LS,,
Appraisal fee,Court testimony (excluding preparation),,,1450,,,Day,,
Appraisal fee,Consulting fees billed at an hourly rate,,,184,,,Hour,,
Arbitration and Mediation Fees,"Claims to $75,000 (Filing )",925,,,,,LS,,
Arbitration and Mediation Fees,"Claims to $75,000 (Service Fee )",800,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $75,000 to $150,000 (Filing )",1930,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $75,000 to $150,000 (Service Fee )",1380,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $150,000 to $300,000 (Filing )",2900,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $150,000 to $300,000 (Service Fee )",2200,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $300,000 to $500,000 (Filing )",4400,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $300,000 to $500,000 (Service Fee )",3850,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $500,000 to $1,000,000 (Filing )",5500,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $500,000 to $1,000,000 (Service Fee )",6830,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $1,000,000 to $10,000,000 (Filing )",7700,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $1,000,000 to $10,000,000 (Service Fee )",8480,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $10,000,000 * (Filing )",0,,,,,LS,,
Arbitration and Mediation Fees,"Claims over $10,000,000 * (Service Fee )",13800,,,,,LS,,
Arbitration and Mediation Fees,No Amount Stated ** (Filing ),7700,,,,,LS,,
Arbitration and Mediation Fees,No Amount Stated ** (Service Fee ),8480,,,,,LS,,
Mobile mediation,Nonrefundable retainer (half from each party),,,385,,,Ea,,
Mobile mediation,Weekday sessions after the initial consultation,,,193,,,Hr,,
Mobile mediation,Nonrefundable retainer for weekend mediation,,,466,,,Ea,,
Mobile mediation,Weekend mediation sessions,,,291,,,Hr,,
"Custom home, eye level view",Simple rendering,,,1030,,,LS,,
"Custom home, eye level view",Complex rendering,,,1520,,,LS,,
"Custom home, bird’s eye view",Simple rendering,,,1250,,,LS,,
"Custom home, bird’s eye view",Complex rendering,,,1780,,,LS,,
"Tract home, eye level view",Simple rendering,,,612,,,LS,,
"Tract home, eye level view",Complex rendering,,,842,,,LS,,
"Tract homes in groups of five or more, bird’s eye view",Simple rendering,,,787,,,LS,,
"Tract homes in groups of five or more, bird’s eye view",Complex rendering,,,1270,,,LS,,
"Tract homes or condomium project, bird's eye view",10-25 homes or living units,,,3890,,,LS,,
Typical commercial structure,Eye level view,,,1780,,,LS,,
Typical commercial structure,Bird’s eye view,,,2000,,,LS,,
Complex commercial structure,Eye level view,,,2630,,,LS,,
Complex commercial structure,Bird’s eye view,,,3400,,,LS,,
Computer generated perspective drawing using CAD,Custom home,,,666,,,LS,,
Computer generated perspective drawing using CAD,Large condo or apartment projects,,,1680,,,LS,,
Computer generated perspective drawing using CAD,Tract homes,,,418,,,LS,,
Computer generated perspective drawing using CAD,"Commercial structure, line drawing",,,1260,,,LS,,
Aluminum pan-type window or door awning,"42"" wide x 24"" projection, 18"" drop",448,101,549,2.17,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Aluminum pan-type window or door awning,"60"" wide x 30"" projection, 20"" drop",657,130,787,2.79,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Aluminum pan-type window or door awning,"78"" wide x 36"" projection, 24"" drop",917,145,1062,3.11,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Aluminum pan-type window or door awning,"88"" wide x 42"" projection, 26"" drop",1100,159,1259,3.41,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Polycarbonate door awning,"61"" wide",389,101,490,2.18,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Polycarbonate door awning,"119"" wide",688,289,977,6.21,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Polycarbonate door awning,"178"" wide",987,406,1393,8.72,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Roll-up aluminum awning,"36"" wide x 18"" projection, 27"" drop",352,106,458,2.28,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Roll-up aluminum awning,"48"" wide x 24"" projection, 34"" drop",393,135,528,2.91,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Roll-up aluminum awning,"54"" wide x 30"" projection, 39"" drop",418,153,571,3.29,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Roll-up aluminum awning,"60"" wide x 35"" projection, 44"" drop",443,163,606,3.5,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Roll-up aluminum awning,"72"" wide x 42"" projection, 51"" drop",519,195,714,4.2,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Curved top door or window canopy,"59"" wide x 46"" projection, 16"" drop",841,140,981,3.4,,Ea,BC: [41.06] - (Carpenter),BC
Curved top door or window canopy,"84"" wide x 46"" projection, 16"" drop",1200,209,1409,5.1,,Ea,BC: [41.06] - (Carpenter),BC
Curved top door or window canopy,"120"" wide x 57"" projection, 16"" drop",2000,279,2279,6.8,,Ea,BC: [41.06] - (Carpenter),BC
Mansard window or door awning,"54"" wide x 36"" projection, 36"" drop",2790,140,2930,3.4,,Ea,BC: [41.06] - (Carpenter),BC
Mansard window or door awning,"72"" wide x 36"" projection, 36"" drop",3080,185,3265,4.5,,Ea,BC: [41.06] - (Carpenter),BC
Mansard window or door awning,"90"" wide x 36"" projection, 36"" drop",3630,230,3860,5.6,,Ea,BC: [41.06] - (Carpenter),BC
Mansard window or door awning,"108"" wide x 48"" projection, 48"" drop",4200,275,4475,6.7,,Ea,BC: [41.06] - (Carpenter),BC
Fabric door awning,"36"" wide x 26"" projection",336,67.5,403.5,1.45,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Fabric door awning,"40"" wide x 36"" projection",348,86.5,434.5,1.86,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Fabric door awning,"48"" wide x 40"" projection",374,96.3,470.3,2.07,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Fabric door awning,"72"" wide x 46"" projection",496,106,602,2.27,,Ea,SW: [46.53] - (Sheet Metal Worker),SW
Cloth retractable patio awning,16' wide x 12' projection,6000,125,6125,3.05,,Ea,BC: [41.06] - (Carpenter),BC
Cloth retractable patio awning,20' wide x 12' projection,6870,140,7010,3.4,,Ea,BC: [41.06] - (Carpenter),BC
Barricades,Quantities from 1 - 15 units,65.6,,65.6,,,Ea,,
Barricades,Quantities from 16 - 31 units,63.5,,63.5,,,Ea,,
Barricades,"Pallet quantities, multiples of 32 units",61.3,,61.3,,,Ea,,
Reflectorized Type I highway barricade,Quantities from 1 - 15 units,57.8,,57.8,,,Ea,,
Reflectorized Type I highway barricade,Quantities from 16 - 31 units,55.8,,55.8,,,Ea,,
Reflectorized Type I highway barricade,"Pallet quantities, multiples of 32 units",53.9,,53.9,,,Ea,,
Reflectorized Type II highway barricade,Quantities from 1 - 15 units,65.9,,65.9,,,Ea,,
Reflectorized Type II highway barricade,Quantities from 16 - 31 units,63.7,,63.7,,,Ea,,
Reflectorized Type II highway barricade,"Pallet quantities, multiples of 32 units",61.5,,61.5,,,Ea,,
Reflectorized Type III plywood highway barricade,Quantities from 1 - 15 units,288,,288,,,Ea,,
Reflectorized Type III plywood highway barricade,Quantities from 16 - 31 units,282,,282,,,Ea,,
Reflectorized Type III plywood highway barricade,"Pallet quantities, multiples of 32 units",276,,276,,,Ea,,
Utility barricade lights without batteries,Amber lens,19.3,,19.3,,,Ea,,
Utility barricade lights without batteries,Red lens,19.3,,19.3,,,Ea,,
Utility barricade batteries,"Batteries, 6 volt (2 needed)",11.4,,11.4,,,Ea,,
"Utility barricade lights, solar powered",Utility barricade solar powered lights,41.4,,41.4,,,Ea,,
Miscellaneous signage/traffic control,"""Road Closed"", reflectorized, 30"" x 48"", Engineer Grade",121,,121,,,Ea,,
Miscellaneous signage/traffic control,"""Construction Zone"", 4' x 4' high intensity grade",331,,331,,,Ea,,
Miscellaneous signage/traffic control,High-rise tripod with 3 orange flags,271,,271,,,Ea,,
Miscellaneous signage/traffic control,Flags   ,5.14,,5.14,,,Ea,,
Non-reflectorized PVC traffic cones,"18"" high",9.92,,9.92,,,Ea,,
Non-reflectorized PVC traffic cones,"28"" high",16.1,,16.1,,,Ea,,
Reflectorized PVC traffic cones,"18"" high",12.9,,12.9,,,Ea,,
Reflectorized PVC traffic cones,"28"" high",19.4,,19.4,,,Ea,,
Reflectorized PVC traffic cones,"36"" high",24.2,,24.2,,,Ea,,
Traffic control devices,"Lane delineator, 42"" orange plastic cylinder with 2 reflectors on a 12 pound rubber base",28.6,,28.6,,,Ea,,
Mesh signs,"Mesh signs, orange, 48"" x 48"", includes brace and clamp",60.4,,60.4,,,Ea,,
Hand-held traffic paddles,"Hand-held traffic paddles, ""Stop"" and ""Slow""",23.9,,23.9,,,Ea,,
Orange plastic safety fencing,"Budget, 4' x 50' roll, mesh opening 3"" x 1.25""",26.7,,26.7,,,Ea,,
Orange plastic safety fencing,"Square mesh, 4' x 50' roll, opening 1.5"" x 1.25""",27,,27,,,Ea,,
Orange plastic safety fencing,"Heavy Duty, 4' x 50' roll, opening 1.25"" x 1.25""",67,,67,,,Ea,,
Orange plastic safety fencing,"Medium Weight 4' x 100', opening 2"" x 2.5""",48.4,,48.4,,,Ea,,
Barricade tape,"Yellow plastic 3"" x 1,000', ""Caution""",11,,11,,,Ea,,
Barricade tape,"Various colors, 3"" x 200', ""Danger""",6.97,,6.97,,,Ea,,
Utility highway barricade rental,"Lighted units, rental, per day",13,,13,,,Ea,,
Utility highway barricade rental,"Unlighted units, rental per day",8.52,,8.52,,,Ea,,
Utility highway barricade rental,"Add for pickup and delivery, per trip",50.1,,50.1,,,Ea,,
Utility highway barricade rental,"Typical labor cost, place and remove any barricade Per use",,5.33,5.33,0.16,,Ea,BL: [33.31] - (Building Laborer),BL
Basement doors,"Classic Series standard, all sizes",830,140,970,3.41,,Ea,BC: [41.06] - (Carpenter),BC
Basement doors,"SLW Series standard, all sizes",879,140,1019,3.41,,Ea,BC: [41.06] - (Carpenter),BC
Basement doors,"Ultra Series, polyethylene, all sizes",1510,140,1650,3.41,,Ea,BC: [41.06] - (Carpenter),BC
Basement doors,Add for keyed lock,81.7,6.57,88.27,0.16,,Ea,BC: [41.06] - (Carpenter),BC
Basement door extensions,"6"" deep",268,70.2,338.2,1.71,,Ea,BC: [41.06] - (Carpenter),BC
Basement door extensions,"12"" deep",324,70.2,394.2,1.71,,Ea,BC: [41.06] - (Carpenter),BC
Basement door extensions,"18"" deep",379,70.2,449.2,1.71,,Ea,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"32"" to 39"" stair height",157,70.2,227.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"48"" to 55"" stair height",201,70.2,271.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"56"" to 64"" stair height",237,70.2,307.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"65"" to 72"" stair height",344,70.2,414.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"73"" to 78"" stair height",384,70.2,454.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"81"" to 88"" stair height",415,70.2,485.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Basement door stair stringers,"89"" to 97"" stair height",444,70.2,514.2,1.71,,Pr,BC: [41.06] - (Carpenter),BC
Bathroom cup holders,"Cup and toothbrush holder, chrome",13.7,10.6,24.3,0.258,,Ea,BC: [41.06] - (Carpenter),BC
Cup holder,"Cup holder, porcelain, surface mounted",9.62,10.6,20.22,0.258,,Ea,BC: [41.06] - (Carpenter),BC
Cup holder,"Cup, toothbrush & soap holder, recessed",36.4,10.6,47,0.258,,Ea,BC: [41.06] - (Carpenter),BC
Cup holder,"Cup, toothbrush holder, polished brass",19.4,10.6,30,0.258,,Ea,BC: [41.06] - (Carpenter),BC
Bathroom electrical plates,"Switch plate, single",5.1,6.91,12.01,0.154,,Ea,BE: [44.88] - (Electrician),BE
Bathroom electrical plates,"Switch plate, double",6.73,6.91,13.64,0.154,,Ea,BE: [44.88] - (Electrician),BE
Bathroom electrical plates,Duplex receptacle plate,5.1,6.91,12.01,0.154,,Ea,BE: [44.88] - (Electrician),BE
Bathroom electrical plates,Duplex receptacle and switch,6.7,6.91,13.61,0.154,,Ea,BE: [44.88] - (Electrician),BE
Tubular chrome grab bars,"Straight bar, 16""",29.9,17,46.9,0.414,,Ea,BC: [41.06] - (Carpenter),BC
Tubular chrome grab bars,"Straight bar, 24""",36.4,17,53.4,0.414,,Ea,BC: [41.06] - (Carpenter),BC
Tubular chrome grab bars,"Straight bar, 32""",39.4,17,56.4,0.414,,Ea,BC: [41.06] - (Carpenter),BC
Tubular chrome grab bars,"""L""- shaped bar, 16"" x 32""",91.5,25.5,117,0.62,,Ea,BC: [41.06] - (Carpenter),BC
Stainless steel grab bars,"Straight bar, 16""",45.2,17,62.2,0.414,,Ea,BC: [41.06] - (Carpenter),BC
Stainless steel grab bars,"Straight bar, 24""",54.4,17,71.4,0.414,,Ea,BC: [41.06] - (Carpenter),BC
